customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,92.87,4715.15,No
CUST-00001,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,35.67,1663.58,Yes
CUST-00002,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,47.14,240.15,Yes
CUST-00003,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card,106.21,693.25,No
CUST-00004,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer,108.28,3751.08,No
CUST-00005,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,22.58,1073.1,No
CUST-00006,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Credit card,35.15,2520.72,No
CUST-00007,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,29.98,1333.09,No
CUST-00008,Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card,36.33,2618.45,Yes
CUST-00009,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,116.96,2133.69,Yes
CUST-00010,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card,74.27,,No
CUST-00011,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,65.75,2443.62,Yes
CUST-00012,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,118.42,7890.93,No
CUST-00013,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,No,Credit card,74.81,4343.55,No
CUST-00014,Female,0,No,Yes,68,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,85.43,5829.44,No
CUST-00015,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,51.94,702.48,No
CUST-00016,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,56.98,2695.36,No
CUST-00017,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,78.63,4765.43,No
CUST-00018,Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card,25.12,758.6,No
CUST-00019,Male,0,Yes,No,21,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,44.1,987.09,Yes
CUST-00020,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,38.07,1639.61,No
CUST-00021,Male,0,No,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card,19.62,1326.57,Yes
